Entry,Category,Destination,Headline,Teaser Copy,Description Subcopy,Amex Integration,Links within Descriptions [ URLs ]
28,THE AMERICAS,Nicaragua,"Next up: Nicaragua 
",Home of Central America's newest luxury accommodations,"The country has long been called the next Costa Rica for its lush landscape, pilgrimage-worthy surf breaks, and laid-back eco-vibe, but for years it lacked the high-quality hotels to truly compete with its neighbor. Enter Nekupe, an eight-room resort south of Grenada where you can trek through the jungle, do yoga, bird watch, and straight-up hammock relax all in one day. Fly to Managua from major U.S. hubs, and there’s no need to rent a car: The resort will pick you up and ferry you into the mountains, which makes Nekupe the perfect long-weekend escape. If you’ve got more time, add a few days at its sister property, <link>Mukul Beach, Golf & Spa</link>, which is one of the prettiest beachside retreats anywhere, on a virgin stretch of Pacific beach surrounded by bohios, or villas, with plunge pools and daybeds. You may never want to leave.
","When you explore the world with the Platinum Card® or Business Platinum Card® from American Express, you’ll have the key to Fine Hotels & Resorts like the <link>Mukul Beach, Golf & Spa.</link> Terms apply. ",https://www.americanexpressfhr.com/featured_hotel_searches/new
29,THE AMERICAS,Mexico City,"Central Mexico City’s Scene – Plus a Side Trip
",Discover the small neighborhoods in one of the world's largest cities,"There are so many cool neighborhoods to discover in Mexico City, especially the once-deserted Centro, with its new crop of outstanding bars. Home base is Downtown México, a design-forward 17-room hotel from Grupo Habita that has an excellent in-house restaurant, Azul Histórico, doing killer mole, a mezzanine shopping arcade with silver necklaces and silk scarves that you’d actually want to buy, and a rooftop pool. By day, you can eat your way through the neighborhood’s best tacos, tortas, and aguas frescas with a street-food walking tour from Club Tengo Hambre. After dark, duck into cantinas like La Opera for Negra Modelo and live mariachi and conjunto jams. To easily see another side of the country, tack on an overnight in Puebla, less than two hours by car from the capital, where the gorgeous new Rosewood Puebla hotel, set inside a collection of recently restored historic buildings, has just opened in this city’s Centro. It’s a quick walk to La Purificadora for a late lunch, and the rooftop pool is the place to be for sundown, with a mezcal margarita in hand.
","With the Platinum Card® from American Express, you can earn 5x Membership Rewards® Points for flights booked directly with airlines or American Express Travel. Terms apply. ",https://www.americanexpress.com/us/credit-cards/benefits/view-all/platinum
30,THE AMERICAS,Bermuda,"Bermuda’s Back","America's Cup fever has taken over the island. Go, and go now. ","This is the year to go, with the superfast yachts of the America’s Cup arriving in May for races around the Great Bay and a rejuvenated <link>Hamilton Princess Hotel & Beach Club</link>, fresh off a $100 million reboot that added a new seafood-minded restaurant from Red Rooster chef Marcus Samuelsson and a striking infinity pool. The island’s many pink-sand beaches are as inviting as ever—the calm surf at Horseshoe Bay makes it a favorite—and there are few things better than a dark ’n’ stormy cocktail overlooking the Atlantic from the terrace bar at The Reefs.
","When you explore the world with the Platinum Card® or Business Platinum Card® from American Express, you’ll have the key to Fine Hotels & Resorts like the <link>Hamilton Princess Hotel & Beach Club.</link> Terms apply. ",https://www.americanexpressfhr.com/featured_hotel_searches/new
31,THE AMERICAS,Jamaica,"Jamaica’s New Food Scene
",Island chefs are making a new kind of green Jamaican staple ,"While Jamaica’s beaches, from the white flats of Negril to the coves of Montego Bay, have long been the main draw, the island has been upping its food game. To catch this vibe, base yourself at <link>Half Moon in Montego Bay,</link> near Scotchies, which chops up Jamaica’s most memorable jerk chicken and pork; it’s also a half-hour drive from vegetarian hot spot Stush in the Bush. (Half Moon’s stunning Sugar Mill restaurant does an impressive take on modern Jamaican dishes like crayfish bisque and ackee flan.) You can’t beat nearby <link>Round Hill</link> for its history (JFK and Jackie O. spent their honeymoon in villa 10) and elegant chaise-lined beachfront, while its Grill restaurant draws from three organic vegetable gardens on the property. Or book a room farther east at GoldenEye in Orcabessa, once the home of James Bond author Ian Fleming and now an unshowily luxe resort whose restaurant is stocked with produce from Pantrepant farm, opened by hotelier and Island Records founder Chris Blackwell. This puts you within an easy drive of the Blue Mountains, where you can hike Clifton Mount coffee plantation, then fuel up with country fare like brown stewfish at roadside favorite Crystal Edge.

","When you explore the world with the Platinum Card® or Business Platinum Card® from American Express, you’ll have the key to Fine Hotels & Resorts like <link>Half Moon in Montego Bay</link>, or <link>Round Hill.</link> Terms apply. ",https://www.americanexpressfhr.com/featured_hotel_searches/new
32,THE AMERICAS,St. Barts,The Soulful Side of St. Barts,Skipping celebrity season for an authentic island escape,"Over the years, St. Barts has become synonymous with celebrities, megayachts and extravagant New Year’s Eve parties. But there’s a soulful, understated side to the island, too. In fact, it is possible to have a low-key vacation there. Go for a week in May or October, post–spring break and pre-holidays, and opt for a house rental. Wimco has some of the best homes on the island and an excellent concierge service. If a hotel is more your style, nothing beats Eden Rock—St. Barths. Even though it’s a full-fledged resort, it’s still the most charming option. All the beaches here are extraordinary for swimming and snorkeling, but Grande Saline is centrally located, just a 10-minute drive from most hotels and close to Le Grain de Sel, a great Creole spot for a post-beach lunch.","With the Platinum Card® from American Express, you can earn 5x Membership Rewards® Points for flights booked directly with airlines or American Express Travel. Terms apply. ",https://www.americanexpress.com/us/credit-cards/benefits/view-all/platinum
15,EUROPE,Paris and Bordeaux,Paris and Bordeaux,A renaissance that's high on style and low on fuss,"There are certain hotels in Paris—the Ritz; Hôtel Plaza Athénée; Four Seasons George V—that are perfectly classic and worth visiting again and again. But recently, we’ve discovered a new crop of smaller properties that are high on style, low on fuss. (Their rates are kinder on the wallet too.) Nolinski Paris and Hôtel Panache are clustered on the right bank, closish to the Louvre, and have scene-y bars and restaurants that have become favorites among hip locals. And because it’s so easy to get to Bordeaux now—the brand-new high-speed rail can get you there from the capital in just two hours—why not tack on a quick trip to Yndo, a sumptuous but funky boutique hotel that’s close to the downtown and the grapevines.
","With the Platinum Card® from American Express, you can earn 5x Membership Rewards® Points for flights booked directly with airlines or American Express Travel.” Terms apply. ",https://www.americanexpress.com/us/credit-cards/benefits/view-all/platinum
16,EUROPE,Athens and Mykonos,Athens & Rethinking Mykonos,Greece is back on the map and in a big way,"After years of economic recession beginning in 2008, Greece is firmly back on the map with the country’s tourist industry growing two to three times faster than that of Spain, Italy, and France in the past few years. Travelers wary of safety in Turkey, Egypt, and Tunisia are rediscovering the ancient country. Plus, Emirates airline has just begun daily nonstop flights from Newark to Athens—by far the best way to get there. Two favorite places to stay in the capital are the <link>King George</link>, a former Rococo-style royal palace with stellar views of the Acropolis that first opened in 1936, and the <link>Hotel Grand Bretagne</link>, a neoclassical landmark from the 19th century directly on Syntagma Square with a rooftop pool. Obligatory visit to the Parthenon aside, don’t miss the Herod Atticus Odeon, a monumental outdoor auditorium begun in a.d. 160, the small and fascinating Museum of Cycladic Art, and an evening wander through the vehicle-free Plaka neighborhood. Only a 40-minute flight away, Mykonos has grown from a youth-oriented party island into a full-service luxury destination. <link>Kivotos Mykonos</link>, overlooking Ornos Bay, eschews island minimalism while still retaining a fresh, whitewashed elegance. Directly across the water, the <link>Santa Marina</link> debuts 114 new rooms this year, including suites with private pools. It’s well worth a daytrip to the ruins on Delos Island, mythological birthplace of Apollo and religious center during the first millennium b.c. Other than that, it’s all about sun, sand, and people watching.
","When you explore the world with the Platinum Card® or Business Platinum Card® from American Express, you’ll have the key to Fine Hotels & Resorts like <link>King George</link>, <link>Hotel Grand Bretange</link>, <link>Kivitos Mykonos</link>, and <link>Santa Marina.</link> Terms apply. ",https://www.americanexpressfhr.com/featured_hotel_searches/new
17,AFRICA,Cape Town,"Winelands, and Safari—All in One Trip",Dramatic coastlines and a strong culinary scene mark this modern city,"Cape Town is the Sydney of Africa, with dramatic coastlines hugging a thoroughly modern city and a strong design and food game. Soon it will also have a world-class arts scene, with the opening of the Zeitz MoCAA on the bustling V&A Waterfront. Base yourself at the 28-room Silo Hotel, which recently opened atop the museum, or a few blocks over at the <link>One&Only Cape Town</link>: Both have staggering views of Table Mountain. You can easily spend two days eating your way through the city—think pulled-confit-pork omelet for lunch at Solo downtown, or, in the artsy Woodstock neighborhood, seared duck and chamomile ice cream at The Test Kitchen. Hire a driver for the hour-long ride east to Leeu House, your hub for tossing back chenin blanc and chards at the township’s 50 or so wineries, and be sure to visit the 17th-century farmhouse turned hotel Babylonstoren for lunch. And instead of following the crowds to Kruger, hop a short flight from Cape Town to the private Sabi Sands Game Reserve for close encounters with elephants and leopards. Stay at Singita Sabi Sand or the Singita Ebony Lodge, where the suites have private plunge pools and game-viewing decks.
","When you explore the world with the Platinum Card® or Business Platinum Card® from American Express, you’ll have the key to Fine Hotels & Resorts like <link>One&Only Cape Town.</link> Terms apply. ",https://www.americanexpressfhr.com/featured_hotel_searches/new
18,AFRICA,Botswana & Mozambique,"Bush to Beach in Botswana and Mozambique
",From rugged safaris to exquisite Indian Ocean resorts,"The bush-to-beach trip is the box-ticking African adventure of the moment—after a few days of rugged game drives, you can wash off the dust at one of Africa’s many standout Indian Ocean resorts. For guaranteed Big Five animal sightings, look to Botswana, where a successful conservation strategy means the elephant and giraffe populations are so dense it can feel like Noah’s ark has just landed. The best action is in the lush Okavango Delta, where animals congregate to drink up the annual floodwaters and you can canoe past bathing hippos. You’ll sleep soundly at Abu Camp, tastefully decorated in khakis, creams, and leathers, or at Zarafa Camp in the Selinda Reserve, where the rooms have decks with roaring campfires that overlook the crush of passing wildlife. Next stop: beach. You’ll fly from Johannesburg to Vilankulo, on Mozambique’s southern coast, where the recently opened andBeyond Benguerra Island comprises a cluster of Portuguese-African-style casinhas with plunge pools on an untrammeled coastline. Play castaway, snorkeling off your own stretch of sand, then rejoin humanity for sundowners under the sails of Benguerra’s private dhow.
","With the Platinum Card® from American Express, you can earn 5x Membership Rewards® Points for flights booked directly with airlines or American Express Travel. Terms apply. ",https://www.americanexpress.com/us/credit-cards/benefits/view-all/platinum
19,AFRICA,Marrakech,The Rose City Rises,A modern day One Thousand and One Nights fantasy,"Hotels in Marrakech have the power to transport. At the <link>Royal Mansour,</link> you’ll play out a modern day One Thousand and One Nights fantasy in a private riad with a rooftop terrace. <link>La Mamounia</link>, on the other hand, is one big fabulous spectacle—from the doormen dressed in billowing white pants to the peacock feather–hued tiles covering nearly every surface. For Moroccan minimalism and one of the best spas, stay at the <link>Mandarin Oriental</link> just outside the city. If your idea of Marrakech is waking to the call to prayer echoing from the Koutoubia Mosque, then an Old City riad turned hotel like the new Jasper Conran–designed L’Hotel Marrakech is the way to go. Wherever you stay, you’re a short walk or taxi ride to the souks, where you’ll want to shop for Berber wedding blankets, colorful leather slippers, and local argan oil. Skip shopping for carpets in the souk (haggling is exhausting) and taxi to the quiet Galerie Le Pacha for excellent antique rugs. The best post-shopping lunch is at Nomad, in the spice market, where you can ask for a rooftop table for views of the walled city with your tagine.
","When you explore the world with the Platinum Card® or Business Platinum Card® from American Express, you’ll have the key to Fine Hotels & Resorts like <link>Royal Mansour</link>, <link>La Mamounia</link>, and <link>Mandarin Oriental.</link> Terms apply. ",https://www.americanexpressfhr.com/featured_hotel_searches/new
20,ASIA / SOUTH PACIFIC,New Zealand,Hiking and Wine Tasting in New Zealand,"Easier to get to than ever, and more than worth the trip","With daily nonstop flights from Los Angeles, San Francisco, and Houston launched last year, New Zealand is now easier to get to from the U.S. than ever. Once you’re there, keep things simple and stick to one region, like Otago, in the South Island. Book any of the beautiful suites at either <link>Matakauri Lodge or Blanket Bay</link>, both on remote stretches of Lake Wakatipu. These are the properties that made this tiny nation the world leader in luxury lodges. Whichever you choose, you’ll be in prime territory for tackling any number of the area’s great walks, including the 20-mile Routeburn Track, where you’ll see the native kea, an alpine parrot. But when you’ve exhausted your hiking boots, it’s nice to know that the pinot noir vineyards of Otago, like Amisfield and Bannockburn—all open for public tastings—are just a 45-minute drive from downtown.
","When you explore the world with the Platinum Card® or Business Platinum Card® from American Express, you’ll have the key to Fine Hotels & Resorts like <link>The Langham Hotel</link> and <link>Park Hyatt Sydney.</link> Terms apply. ",https://www.americanexpressfhr.com/featured_hotel_searches/new
21,ASIA / SOUTH PACIFIC,Australia,"Melbourne, Sydney, and the Whitsundays","Ideal island beaches, the Great Barrier Reef, and Australia's capital of culture","This itinerary is the ultimate 10-day sampler of Australia’s east coast, starting in the south at Melbourne, the nation’s capital of arts and culture, coffee and cool; then up to Sydney for laid-back surf and one of the most sophisticated dining and hotel scenes in the country; and finishing farther north still, with a snorkel and a sail at the southern stretch of the Great Barrier Reef around the Whitsunday Islands. Book rooms at <link>The Langham hotel in Melbourne</link>, right on the Yarra River, and the <link>Park Hyatt Sydney</link>, with views of the Opera House (don’t forget to actually catch a show while you’re there). Plan days around your meals, be it a perfect flat white (try Seven Seeds in Melbourne), the classic Aussie breakfast (start at Bill’s in Sydney), or the best dumplings (it’s a toss-up between 40-year-old dim sum institution Flower Drum or forward-thinking Billy Kwong). Then, grab your sunscreen—the sun here is brutal—and zone out at the luxury resort Qualia on Hamilton Island in the Whitsundays for your last few days down under. 
","When you explore the world with the Platinum Card® or Business Platinum Card® from American Express, you’ll have the key to Fine Hotels & Resorts like <link>The Langham Hotel</link> and <link>Park Hyatt Sydney.</link> Terms apply. ",https://www.americanexpressfhr.com/featured_hotel_searches/new
22,ASIA / SOUTH PACIFIC,Japan,Classic Japan,Skip the buzz of Tokyo for the serenity of Osaka and Kyoto,"If tackling relentlessly urban Tokyo sounds overwhelming, try a softer entry by flying into Osaka and combining the temple-filled beauty of old Kyoto with a countryside escape surrounded by sacred forests. The newly opened <link>Four Seasons Hotel Kyoto</link> includes a 100,000-square-foot, 800-year-old garden, once part of a lord’s mountain villa residence. Or stay in the woods above the banks of the Hozugawa River at the luxurious Hoshinoya ryokan, accessible only by boat. Michelin-star Ajiro specializes in exquisite vegetarian food near the Myoshinji temple. Do lunch at one (or a few) of the 126 food stalls at the centuries-old Nishiki Market, where you’ll find everything from sushi and grilled squid to omelets, sugared fruit, and rice balls. <link>Amanemu</link>, a three-hour drive south of the city, near the Ise-Shima National Park, has suites and villas with private mineral spring–fed soaking tubs, views of pearl-laden Ago Bay, and proximity to pilgrimage trails leading to Shinto shrines. Here, chef Masanobu Inaba presents a masterful, modern take on traditional, multicourse kaiseki dinners.
","When you explore the world with the Platinum Card® or Business Platinum Card® from American Express, you’ll have the key to Fine Hotels & Resorts like the <link>Four Seasons Hotel Kyoto</link> and <link>Amanemu.</link> Terms apply. ",https://www.americanexpressfhr.com/featured_hotel_searches/new
23,ASIA / SOUTH PACIFIC,Vietnam,"South-to-North Vietnam: Hoi An to Halong Bay
",An itinerary worth more than a typical stopover in Hanoi ,"Travelers often make the mistake of trying to tack a few days in Vietnam onto a trip to, say, Cambodia or Thailand. Instead, stick to a 10-day, Vietnam-only itinerary: Check into the <link>Nam Hai, a Four Seasons resort</link>, for your first few days in Hoi An. The central coastal city is a UNESCO World Heritage site best known for its winding alleyways, lantern-lit storefronts, and master tailors (don’t just have one shirt made—have four). From there, go a short ways north to the former imperial city of Hue, where your hotel, La Residence, takes its identity from the former French colonial governor’s mansion at its core. Then it’s on to Hanoi in the north, where pho and pastries beckon in the French Quarter and the indulgences of the neighborhood’s <link>Sofitel Legend Metropole</link> don’t come with big price tags. Finish with a side trip, about four hours from Hanoi, to Halong Bay, where you’ll board a beautiful teak Chinese junk boat to prowl around karsts rising from the mist. 
","When you explore the world with the Platinum Card® or Business Platinum Card® from American Express, you’ll have the key to Fine Hotels & Resorts like the <link>Nam Hai, a Four Seasons resort</link> and <link>Sofitel Legend Metropols.</link> Terms apply. ",https://www.americanexpressfhr.com/featured_hotel_searches/new
24,ASIA / SOUTH PACIFIC,Rajasthan,Deeper into Rajasthan,Go beyond India’s Golden Triangle—Delhi to Agra to Jaipur,"India’s Golden Triangle—Delhi to Agra and Jaipur—has been on bucket lists for decades, but consider a 200-mile road trip that pushes farther into Rajasthan. Start in the blue-hued desert city of Jodhpur with a stay at the monumental <link>Umaid Bhawan Palace hotel</link> (finished in 1943 for the local maharaja), or just outside town in the bucolic Bal Samand Lake Palace, a 17th-century summer lodge set in 60 acres of gardens. Dine under the ramparts of the city’s Mehrangarh Fort at RAAS Jodhpur’s alfresco Darikhana restaurant after a day spent shopping at Maharani Textiles in the old city or at the Gems and Jewels Palace near the Ajit Bhawan. With a car and driver, head south through the countryside for a night at the enchanting hunting lodge–turned–hotel Rawla Narlai, or high above the farmland at the ultrachic RAAS Devigarh (don’t miss a stop at Kumbhalgarh Fort). End in Udaipur, where you’ll want to shop for Pichwai paintings and embroidered mirror-work fabrics, staying either in the middle of Lake Pichola at the iconic <link>Taj Lake Palace</link>, or on its western shores at the opulent <link>Oberoi Udaivilas</link> (preferably in a suite with a private pool and peacock-filled gardens). 
","When you explore the world with the Platinum Card® or Business Platinum Card® from American Express, you’ll have the key to Fine Hotels & Resorts like the <link>Umaid Bhawan Palace hotel</link>,  <link>Taj Lake Palace</link>, and <link>Oberol Udaivilas</link>. Terms apply. ",https://www.americanexpressfhr.com/featured_hotel_searches/new
